Brand,Description,Extra Features,Price
Acer Aspire,"Lite AL15-53 Core i5 1334U 16GB 15.6"" FHD Laptop","Backlit Keyboard, Stereo Speaker, Type-C","71,000"
Lenovo IdeaPad,"Slim 3 15IRH8 Core i5 13th Gen 8GB RAM 15.6"" FHD Military Grade Laptop With FreeDOS","Type-C, Privacy Shutter, Wi-Fi 6, Dolby Audio","74,100"
Dell 15,"DC15250 Core i5 13th Gen 15.6"" FHD Laptop","Full-Size Keyboard, Type-C, Wi-Fi 6","74,500"
HP 15-fd0333TU,"Core 5 120U 15.6"" FHD Laptop","Privacy Shutter, Mic Mute Key, Type-C, Wi-Fi 6E, Bluetooth 5.3","78,500"
Asus Vivobook,"16 M1607GA Ryzen AI 7 445 16"" WUXGA Laptop","Backlit Keyboard, Privacy Shutter, Type-C","129,000"
Asus Vivobook,"14 A1404VA Core 5 120U 14"" FHD Laptop","Chiclet Keyboard, Privacy Shutter, Military Grade","84,900"
Asus Vivobook,"15 A1504VA Core 7 150U 15.6"" FHD Laptop","Backlit Keyboard, Privacy Shutter, Fingerprint, Military Grade","112,000"
Asus Vivobook,"16 M1607GA Ryzen AI 7 445 16"" WUXGA Laptop Cool Silver","Backlit Keyboard, Privacy Shutter, Type-C","129,000"
Asus Vivobook,"14 A1404VA Core 5 120U 14"" FHD Laptop Cool Silver","Chiclet Keyboard, Privacy Shutter, Military Grade","84,900"
Asus Vivobook,"15 A1504VA Core 7 150U 15.6"" FHD Laptop Cool Silver","Backlit Keyboard, Privacy Shutter, Fingerprint, Military Grade","112,000"
Asus Vivobook,"14 M1407KA Ryzen AI 5 330 14"" WUXGA Laptop","Backlit Keyboard, Privacy Shutter, Type-C, Military Grade","112,000"
Asus Vivobook,"14 X1404VA Core 5 120U 14"" FHD Laptop","Fingerprint, Backlit Keyboard, Military-Grade","78,000"
Asus Vivobook,"15 A1504VA CORE 3 100U 15.6"" FHD Laptop","Chiclet Keyboard, Privacy Shutter, Military Grade","65,800"
Asus Vivobook,"15 A1504VA Core 3 100U 15.6"" FHD Laptop Cool Silver","Chiclet Keyboard, Privacy Shutter, Military Grade","65,800"
Asus Vivobook,"14 X1404VA Core 5 120U 14"" FHD Cool Silver Laptop","Fingerprint, Backlit Keyboard, Military-Grade","78,000"
HP 15-fd0268TU,"Core i5 13th Gen 15.6"" FHD Laptop with Original Windows & Office","Type-C, Wi-Fi 6, Privacy Shutter, Mic Mute Key","78,500"
HP 15-fd0812TU,"Intel Core 5 120U 15.6"" FHD Laptop","Privacy Shutter, Type-C, Wi-Fi 6, Bluetooth 5.4","79,500"
HP 15-fd0811TU,"Intel Core 5 120U 15.6"" FHD Laptop","Win-11 Home, Type-C, Wi-Fi 6, Bluetooth 5.4","79,500"
ASUS Vivobook,"15 A1504VA Core 5 120U 16GB RAM 15.6"" FHD Laptop","Privacy Shutter, Type-C Port, Wi-Fi 6E, Military Grade","83,000"
Asus VivoBook,"15 X1504VA Intel Core 5 120U 15.6"" FHD Laptop","Chiclet Keyboard, Privacy Shutter, SonicMaster","84,900"
Acer TravelLite,"TL14-52M Core i5 13th Gen 8GB RAM 512GB Storage 14"" FHD Laptop","Fingerprint, Backlit Keyboard, Type-C","75,000"
HP 15-fd0811TU,"Intel i5 1334U 13th Gen 15.6"" FHD Laptop","Win-11 Home, Type-C, Wi-Fi 6, Bluetooth 5.4","80,500"
Lenovo IdeaPad,"Slim 3 15ABR8 Ryzen 7 5825U 15.6"" FHD Laptop","Privacy Shutter, Type-C, Wi-Fi 6, Bluetooth 5.2, Military Grade","76,000"
Lenovo IdeaPad,"Slim 3i 15ITL6 Core i7 11th Gen 15.6"" FHD Laptop with Fingerprint","Backlit keyboard, Fingerprint, Type-C","76,500"
Walton Passion,"BX710U Core i7 10th Gen 15.6"" FHD Laptop","Built-in array microphone, Type-C","67,500"
